Susceptible,Infected,Recovered,Dead,Populations,Date
984,16,0,0,1000,01/01/2021
981,19,0,0,1000,02/01/2021
981,19,0,0,1000,03/01/2021
980,20,0,0,1000,04/01/2021
979,21,0,0,1000,05/01/2021
978,22,0,0,1000,06/01/2021
976,24,0,0,1000,07/01/2021
974,26,0,0,1000,08/01/2021
972,28,0,0,1000,09/01/2021
969,31,0,0,1000,10/01/2021
967,33,0,0,1000,11/01/2021
965,35,0,0,1000,12/01/2021
963,37,0,0,1000,13/01/2021
962,38,0,0,1000,14/01/2021
960,40,0,0,1000,15/01/2021
959,41,0,0,1000,16/01/2021
958,42,0,0,1000,17/01/2021
956,44,0,0,1000,18/01/2021
953,47,0,0,1000,19/01/2021
952,48,0,0,1000,20/01/2021
948,52,0,0,1000,21/01/2021
947,53,0,0,1000,22/01/2021
946,54,0,0,1000,23/01/2021
945,55,0,0,1000,24/01/2021
944,56,0,0,1000,25/01/2021
941,59,0,0,1000,26/01/2021
938,62,0,0,1000,27/01/2021
937,63,0,0,1000,28/01/2021
936,64,0,0,1000,29/01/2021
934,66,0,0,1000,30/01/2021
930,70,0,0,1000,31/01/2021
926,74,0,0,1000,01/02/2021
925,75,0,0,1000,02/02/2021
922,78,0,0,1000,03/02/2021
918,82,0,0,1000,04/02/2021
912,88,0,0,1000,05/02/2021
909,91,0,0,1000,06/02/2021
906,94,0,0,1000,07/02/2021
897,103,0,0,1000,08/02/2021
889,111,0,0,1000,09/02/2021
880,120,0,0,1000,10/02/2021
873,127,0,0,1000,11/02/2021
866,134,0,0,1000,12/02/2021
864,136,0,0,1000,13/02/2021
862,138,0,0,1000,14/02/2021
859,141,0,0,1000,15/02/2021
858,142,0,0,1000,16/02/2021
855,145,0,0,1000,17/02/2021
850,150,0,0,1000,18/02/2021
842,158,0,0,1000,19/02/2021
837,157,5,1,999,20/02/2021
832,159,6,3,997,21/02/2021
823,168,6,3,997,22/02/2021
816,174,7,3,997,23/02/2021
809,180,7,4,996,24/02/2021
802,186,8,4,996,25/02/2021
797,189,9,5,995,26/02/2021
788,196,11,5,995,27/02/2021
781,201,12,6,994,28/02/2021
